Strains	Niche	Location	SynH Final OD600	SynH Percent glucose consumed	HT Tolerance based on OD600	HT Tolerance based on glucose consumption	Number of SNPs compared to S288c (ref Strain) 	Percent pairwise genetic divergence	Percent of Heterozygous SNPs	Population based on PCA coordinates
273614N	Clinical	"Newcastle, UK"	5.5	50.0	70.5	61.3	48534	0.40	3	8
378604X	Clinical	"Newcastle, UK"	0.3625	2.9	3.1	3.4	46222	0.38	3	8
BC187	Other Fermentation	"Napa Valley, USA"	6.56	69.2	65.3	70.1	42617	0.35	2	1
CBS7960	Industrial fermentation (sugar cane)	"Sau Paulo, Brazil"	6.5125	58.7	67.1	59.6	47900	0.40	3	1
CLIB324	Bakery	Vietnam	3.575	30.0	63.8	56.6	46951	0.39	98	8
CLIB382	Other Fermentation	Ireland	6.1125	68.1	66.2	75.1	47996	0.40	3	8
DBVPG1106	Natural Isolate	Australia	7.8375	72.3	68.5	72.5	40712	0.34	2	1
DBVPG1373	Natural Isolate	The Netherlands	6.0375	47.3	68.7	52.6	42183	0.35	2	1
DBVPG1788	Natural Isolate	"Turku, Finland"	4.6	44.8	43.9	52.6	46571	0.38	19	1
DBVPG1853	Unknown	Ethiopia	6.1375	61.4	72.2	67.3	54633	0.45	2	8
DBVPG6044	Other Fermentation	West Africa	7.5875	71.7	68.0	86.0	74298	0.61	2	5
DBVPG6765	Natural Isolate	Indonesia	4.72	54.3	54.7	58.1	41546	0.34	2	1
DCM16	Natural Isolate	Wisconsin	6.675	72.4	75.5	77.3	72089	0.60	57	8
DCM6	Natural Isolate	Wisconsin	3.6625	48.1	43.3	60.7	70553	0.58	61	8
EthanolRed	Industrial	Industrial	5.9625	62.4	43.8	65.3	60795	0.50	12	2
FL100	Lab	unknown	5.6875	51.0	57.1	56.7	47406	0.39	98	8
I14	Vineyard	"Petina, Italy"	6.675	66.0	60.6	69.2	47208	0.39	4	8
IL01	Soil	"Cahokia, IL"	5.9375	49.7	69.2	55.0	72743	0.60	3	8
K1	Sake	Japan	2.6	32.9	32.7	38.1	60989	0.50	8	2
K10	Sake	Japan	3.5875	23.5	39.1	38.0	61930	0.51	3	2
K11	Sake	Japan	2.9375	33.2	51.5	67.3	58128	0.48	2	2
K9	Sake	Japan	2.55	22.8	21.3	31.2	61897	0.51	3	2
L1374	Wine fermentation	"Maule Region, Chile"	3.7375	61.0	67.2	74.3	41118	0.34	2	1
L1528	Wine fermentation	"Maule Region, Chile"	5.9125	55.8	60.4	55.9	42570	0.35	4	1
NC02	Oak Exudate	"Smoky Mountains, NC"	5.63	61.1	67.0	75.5	62542	0.52	5	8
NCY3290	Bili Wine	West Africa	5.45	49.1	69.0	54.0	73744	0.61	1	5
NCY3455	Clinical isolate	"Newcastle, UK"	0.7875	17.7	26.4	35.4	46575	0.38	3	8
NCYC110	Other Fermentation	West Africa	5.1	50.3	47.6	53.5	73680	0.61	1	5
NCYC361	Wine	unknown	2.73	33.1	32.0	40.4	42156	0.35	2	1
PE2	Industrial fermentation (sugar cane)	unknown	6.4	66.9	75.2	68.1	55370	0.46	33	8
PW5	Other Fermentation	"Aba, Nigeria"	7.275	64.1	57.0	78.7	68541	0.57	2	6
SB	Natural Isolate	Indonesia	4.9125	40.6	50.6	49.2	43038	0.36	10	1
SK1	Lab	unknown	5.29	43.3	53.7	43.5	68667	0.57	2	6
T73	Wine fermentation	"Alicante, Spain"	7.1	63.3	59.2	65.7	48127	0.40	4	1
